hgnc_symbol	adipose	colon	heart	hypothalamus	kidney
ACCN3	0.07	0.148	0.116	0.381	0.115
ACCN4	0.025	0	0	0.942	0
ACCN5	0	0	0	0	0.088
ACER1	0	0	0	0	0
ACER3	3.34	1.114	1.772	3.187	2.603
ACIN1	8.739	10.489	9.686	7.164	10.676
ACO2	4.26	3.997	13.228	10.768	11.993
ACOT11	0.071	1.16	0.393	0.123	0.794
ACOT12	0	0.039	0.122	0.171	0.531
ACOT7	0.231	0.575	0.352	3.365	0.985
ACOX3	0.497	0.962	1.854	1.634	1.295
ACOXL	0.014	0.161	0.007	0.056	0.02
ACP2	1.583	0.887	1.252	1.514	1.995
ACP5	4.808	0.644	0.395	0.024	5.355
ACPT	0.027	0.038	0	0	0
ACR	0.107	0.075	0.068	0.221	0.095
ACRV1	0	0.133	0	0	0
ACSBG1	0.013	0.154	0.013	2.035	0.026
ACSL4	14.798	1.861	12.506	16.733	16.428
ACSL5	3.443	8.792	1.555	1.793	1.195
ACSL6	0	0.371	0.202	13.144	0.529
ACSM2A	0	0.009	0.006	0	21.481
ACSS2	4.309	4.071	3.683	1.102	6.488
WHSC1L1	7.188	5.02	8.078	13.725	8.56
ACTL6A	11.739	13.563	15.632	10.421	13.352
ACTL6B	0	0	0	1.138	0
ACTN2	0.73	0.068	363.736	7.071	0.066
ACTN3	0	0	0.013	0.027	0.006
ACTR2	24.589	11.137	26.683	38.131	21.733
ACTR3B	0.203	0.207	0.347	3.829	0.699
ACTRT1	0	0	0	0	0
ACVR1	3.293	2.484	5.365	4.033	7.991
ACVR1C	6.116	0.306	0.135	1.24	0.066
ACYP2	0.361	0.21	2.258	1.364	0.668
ADAL	1.863	0.668	4.718	3.775	3.603
ADAM10	8.229	3.543	11.906	11.472	12.139
ADAM12	5.593	0.186	0.184	0.84	0.155
ADAM15	0.342	0.364	0.612	0.51	0.167
ADAM22	1.432	0.375	0.299	8.754	1.041
ADAM28	0.592	3.599	0.495	1.869	1.328
ADAM33	0.595	0.278	0.18	0.075	0.079
ADAM3A	0	0	0	0.061	0
ADAM6	0	0	0	0	0
ADAM9	19.888	4.692	37.728	11.054	22.951
ADAMDEC1	0.148	17.928	0.075	0.017	0.067
ADAMTS1	14.622	2.278	33.308	7.405	13.096
ADAMTS13	0.247	0.554	0.452	0.625	0.793
ADAMTS19	0.036	0.096	0.092	0.268	0.12
ADAMTS2	0.194	0	0.11	0	0.044
ADAMTSL4	0.432	0.311	0.58	0.118	0.064
ADAR	9.229	6.751	9.854	20.871	12.738
ADARB1	1.811	1.023	1.924	3.376	1.395
ADC	0.034	0.177	0.103	0.573	0.076
ADCK1	0.444	0.184	0.209	0.577	0.482
WNK3	0.029	0.095	0.578	1.951	1.138
ADCY6	2.623	1.719	2.277	0.675	1.542
ADCY7	2.423	1.512	1.4	1.093	0.601
ADCY8	0	0	0	2.938	0.023
ADCYAP1R1	0.447	0.47	0.352	9.363	0
ADD3	8.783	6.487	15.576	27.829	19.73
ADH1C	1.147	14.629	0.519	0	1.196
ADH5	12.879	5.808	12.52	8.229	17.664
ADH6	0.197	1.138	0.067	0.027	3.539
ADIPOQ	129.082	5.589	2.183	0.017	0.348
ADIPOR1	3.556	2.66	9.124	7.108	6.546
ADK	3.104	0.593	3.519	4.859	3.812
ADM2	0	0.073	0.044	0	0.917
ADNP	5.947	4.953	6.158	11.572	8.797
ADORA3	0.102	0.287	0.624	0.74	0.017
ADPRH	3.684	0.778	2.326	1.201	1.364
ADPRHL1	0.314	0.275	25.931	0.425	0.188
ADPRHL2	0.435	0.441	0.441	0.83	0.724
ADRA1A	3.835	0.167	2.394	1.95	0.056
ADRB2	3.197	0.202	0.523	0.373	0.21
ADRB3	0.042	0.321	0.042	0.029	0.063
ADRBK1	0.672	1.456	0.985	2.178	0.689
ADSSL1	0.182	0.255	5.267	0.565	1.115
AEBP1	12.102	7.694	19.688	5.32	7.042
AEBP2	1.583	1.867	2.352	3.602	2.932
AFAP1	1.07	1.341	0.741	1.184	0.673
AFAP1L2	0.602	1.077	0.484	1.577	1.927
AFF1	9.156	6.772	9.658	3.559	17.323
AFF2	0.326	0.107	0.317	2.433	0.185
AFF3	2.369	1.191	0.871	5.043	0.581
AFG3L2	6.903	9.095	15.502	12.097	14.567
AFM	0.074	0.052	0.028	0	11.726
ADCY2	0.078	0.184	0.028	5.846	0.037
AFMID	0.177	0.165	0.209	0.122	3.065
AFTPH	3.251	2.943	2.971	5.235	9.067
AGAP11	1.292	0.179	0.213	0.192	0.364
AGAP4	0	0	0	0	0
AGAP5	0.151	0.265	0.054	0.047	0.069
AGAP6	0.026	0.121	0.047	0.014	0.054
AGAP7	0	0	0	0.016	0.038
AGBL3	0.135	0.095	0.053	0.14	0.126
AGBL5	0.919	0.929	0.543	1.088	1.894
AGL	2.869	1.545	5.491	3.459	3.801
AGPAT1	0.295	0.375	0.862	1.028	0.997
AGPAT3	5.683	3.081	5.194	8.232	11.966
XAGE1C	0	0	0	0	0
AGPHD1	3.421	1.941	1.847	4.021	6.865
AGR2	0.075	28.257	0	0	0.34
AGR3	0	4.354	0	0	0.124
AGTPBP1	2.185	0.82	6.341	12.03	2.53
AGTR1	1.688	0.064	0.626	0.031	0.768
AGTRAP	0.424	0.183	0.629	0.538	0.494
AGXT2L1	0	0.51	9.29	44.941	0.561
AHCTF1	6.792	2.39	9.283	7.482	7.293
AHCYL2	1.361	9.239	0.613	11.338	5.148
AHSA2	4.714	4.854	2.572	2.714	6.272
AICDA	0.013	0.018	0	0	0
AIF1	10.678	2.09	10.166	16.057	3.985
AIFM1	3.42	4.01	18.89	3.613	37.109
AIFM3	0.03	1.641	0.061	1.919	0.046
AIM2	0.049	0.208	0.025	0.026	0.025
AIPL1	0.039	0.046	0	0.041	0.007
AJAP1	0.201	0.22	0.057	9.165	1.269
AK1	1.442	1.453	9.93	3.712	1.416
AK2	4.643	4.571	4.001	2.669	12.304
AK5	0.159	1.333	0.308	119.493	0.32
AKAP1	5.839	12.54	9.687	5.156	6.285
AKAP12	39.799	11.576	18.338	41.979	18.579
AKAP14	0	0.039	0.056	0.229	0.056
AKAP3	0.207	0.213	0.395	0.339	0.596
AKAP4	0	0	0	0	0.006
AKAP7	0.474	0.984	0.713	1.678	0.47
AKAP9	10.044	5.483	15.869	15.195	19.391
AKIRIN1	4.326	3.695	8.144	10.654	8.071
AKIRIN2	10.674	4.916	15.416	16.844	7.071
AKR1A1	4.489	3.509	4.266	2.828	21.071
AKR7L	0.104	0.778	0.044	0.305	2.157
AKT1	2.151	2.504	1.834	1.293	1.129
ALAS1	4.058	2.425	6.242	4.502	4.506
ALB	0.409	14.902	37.193	0.152	24.347
ALDH16A1	0.142	0.248	0.09	0.024	0.113
ALDH18A1	2.942	7.877	2.508	3.573	4.602
ALDH1A2	1.4	0.038	1.51	0.818	2.236
ALDH1L1	3.572	0.79	1.652	2.825	13.456
ALDH3A1	0.083	0.581	0.032	0.193	0.105
RICS	0.731	2.413	0.385	8.046	1.789
ALDH3A2	8.272	2.667	2.87	3.807	6.461
ALDH3B1	0.759	0.315	0.562	0.226	1.227
ALDH3B2	0.015	0.01	0	0.03	0.022
ALDH8A1	0.029	0.142	0.037	0.104	10.824
ALDOB	0.182	8.289	1.452	0.125	788.91
ALDOC	25.399	2.071	16.768	85.212	0.494
ALG10	0.164	0.214	0.078	0.327	0.219
XAGE1D	0	0	0	0	0
XPO5	1.082	1.256	1.317	1.929	1.632
ZBTB42	0.222	0.333	0.431	0.136	0.48
ZBTB7C	0.273	3.759	0.377	0.614	0.212
ZDHHC21	2.332	1.472	4.351	10.279	4.299
ALG5	6.519	6.689	5.542	8.072	10.442
ALG9	5.031	1.299	3.177	3.37	2.483
ALKBH2	1.104	0.644	0.841	1.678	0.991
ALKBH5	4.054	5.108	25.576	8.929	11.698
ALOX12P2	0	0.074	0.013	0.26	0.362
ALOX15	0.014	0.192	0.028	0.014	0.007
ALOX15B	0.162	0.299	0.531	0.046	0.134
ALPL	1.048	0.171	3.513	2.859	6.4
ZFATAS	0	0	0	0	0
ZFP57	0	0	0.319	0.365	0.139
AMDHD2	0.023	0.244	0.047	0	0.117
AMHR2	0	0	0	0	0
AMMECR1	0.549	0.551	0.816	0.56	1.629
AMMECR1L	1.51	0.93	2.046	1.346	1.796
AMN	0.047	0.347	0	0	0.119
AMN1	1.044	0.268	1.732	4.292	1.274
ZNF100	3.384	0.754	3.895	3.408	3.306
AMPD1	0.016	0.406	0	0	0.016
AMPD2	0.285	0.641	0.649	3.066	0.616
AMPH	0.385	0.253	0.539	13.469	0.283
AMT	0.336	2.069	0.793	0.797	2.077
AMY2B	0.337	0.307	0.257	0.661	0.91
AMZ1	0.008	0.082	0.038	0.275	0.084
ANAPC11	0.368	0.418	1.073	1.091	0.789
ANAPC13	5.294	1.598	5.576	6.655	9.985
ANAPC4	7.297	3.898	8.281	5.856	10.02
ANAPC5	3.98	2.961	3.378	5.021	4.176
ANAPC7	1.663	1.095	1.469	3.363	2.166
ANG	1.191	1.042	1.108	0.256	1.604
ANGPT2	1.958	0.478	3.849	0.827	0.693
ZNF107	1.29	0.874	2.446	2.229	3.966
ANGPTL2	10.856	2.93	4.88	2.026	1.09
ZNF114	0.25	0.07	0.262	0.464	0.319
ANGPTL7	0.312	0.942	2.274	0.085	1.558
ANK1	0.047	0.141	2.603	1.016	0.024
ANKDD1A	2.289	0.248	0.563	2.082	0.28
ANKFY1	2.807	2.06	1.493	3.333	2.262
ANKLE1	0.205	0.767	0.243	0.153	0.282
ANKRD10	1.575	1.237	1.554	1.412	1.977
ANKRD12	6.123	1.78	7.45	11.44	8.011
ANKRD13D	0.132	0.278	0.227	0.512	0.142
ANKRD17	7.458	5.365	11.318	12.589	10.549
ANKRD19	2.244	1.928	2.392	1.314	1.431
ANKRD24	0.182	0.083	0.005	0.979	0.212
ANKRD35	1.059	0.436	0.521	2.118	0.099
ZNF160	7.102	3.297	7.622	8.361	6.834
ANKRD37	0	0	0.04	0.041	0.06
ANKRD5	0.941	0.484	0.293	0.525	1.048
ANKRD50	2.408	1.238	2.926	4.903	2.38
ANKRD53	0.037	0.026	0.065	0	0.047
ANKRD54	0.179	0.376	0.146	0.518	0.48
ANKRD55	0.059	0.123	0.067	0.409	0.007
ANKRD56	0	0.528	0	0.752	0.8
ANKS1A	1.058	1.587	1.403	1.074	1.533
ANKZF1	1.467	2.702	1.663	1.645	2.847
ANO1	0.92	1.339	1.547	0.232	0.754
ANO10	7.347	8.465	3.791	7.345	7.419
ANO6	21.981	5.288	12.635	5.593	11.696
ANO9	0.038	0.394	0	0.04	0.213
ANP32C	43.022	34.578	32.947	69.061	35.399
ANTXR1	5.214	6.846	6.571	8.742	1.589
ANTXR2	12.75	6.239	5.267	0.987	2.551
ANXA1	552.954	21.413	80.164	25.052	17.998
ANXA2	127.693	30.215	32.27	9.192	13.828
ANXA2P2	135.08	25.263	43.076	12.148	14.21
ANXA3	1.498	1.128	3.111	1.569	2.716
ANXA6	21.003	6.48	13.436	18.402	6.483
AOC2	0.625	0.199	0.058	0.088	0.143
AOC3	7.554	1.31	0.482	0.047	0.516
AOX2P	0	0	0	0	0
AP1G1	3.914	3.027	4.492	6.33	9.574
AP1M1	0.952	0.678	1.107	2.139	1.714
AP1S2	1.383	0.552	9.235	3.137	0.975
AP1S3	0.073	0.122	0.037	0.066	0.361
AP2A1	1.595	1.411	2.291	4.277	1.643
AP2A2	3.795	3.17	2.803	9.44	3.744
AP2M1	33.447	23.886	38.648	96.608	30.271
AP2S1	0.71	0.795	0.673	1.611	0.884
AP3M1	2.586	1.449	2.923	3.17	2.387
AP3M2	1.581	1.45	1.305	10.355	2.349
AP3S1	9.629	4.927	8.229	16.226	3.841
AP3S2	4.41	2.88	4.53	6.911	4.527
APAF1	1.348	1.767	1.314	1.95	1.114
APBA1	0.441	0.547	0.396	11.216	0.434
APBA2	0.031	0.314	0.005	12.037	0.088
APBB1	0.403	1.148	1.828	12.19	0.926
APBB2	2.833	0.508	2.121	3.568	2.067
APCDD1L	0.059	0.066	0.036	0.012	0.232
APEH	0.999	2.228	1.588	2.253	3.213
APEX1	4.294	3.339	3.071	6.07	4.695
APH1A	4.126	4.862	2.84	3.193	6.912
APH1B	1.445	0.337	1.232	2.648	1.19
API5	5.682	3.577	7.171	11.984	10.335
APLP1	0	0.178	0.342	24.899	0.045
APLP2	93.635	43.023	114.665	102.683	153.432
APOA1BP	1.146	1.239	2.328	2.569	2.497
APOA2	0	1.033	5.045	0	1.45
APOA5	0.038	0.013	0.058	0	0.086
APOBEC2	0.135	0.11	9.064	0.023	0.42
ZNF167	0.085	0.059	0.054	0.153	0.267
ZNF169	0.238	0.383	0.215	0.384	0.271
ZNF182	1.737	0.656	1.721	2.466	2.578
APOBEC3H	0	0.025	0.018	0.109	0.018
APOC3	0	0	0.49	0	0.417
APOL1	6.251	2.463	5.119	3.319	4.549
APOL2	13.534	6.406	12.54	20.649	10.775
APOL3	14.228	3.604	11.355	2.615	5.825
APOOL	1.782	0.62	4.261	3.069	3.04
APP	31.45	47.421	67.854	207.476	125.999
AQP4	0.014	1.4	1.59	136.929	0.34
AQP5	0	0	0	0	0
AQR	4.12	2.516	3.101	4.289	4.624
ARAP1	6.046	5.99	2.845	1.938	2.845
ARAP2	1.222	0.982	1.178	9.884	2.35
ARAP3	0.272	0.22	0.372	0.13	0.261
ZNF25	3.145	0.365	4.885	13.661	2.05
ARF1	7.928	6.438	11.745	13.693	10.76
ARFGAP1	0.46	1.005	0.586	1.065	0.804
ARFGAP3	5.343	2.818	9.373	8.431	11.457
ARFGEF2	3.854	4.178	5.872	5.883	7.166
ARFIP1	2.392	1.769	2.092	2.215	3.648
ARFRP1	1.953	3.197	1.491	2.406	2.156
ARGFX	0.007	0.096	0.048	0.037	0.048
ZNF250	0.433	0.63	0.627	0.691	1.203
ARHGAP18	4.408	1.154	2.131	1.44	5.129
ARHGAP27	0.211	1.05	0.204	0.125	0.493
ARHGAP30	11.253	4.759	6.353	3.656	1.643
ZNF283	0.401	0.331	1.279	1.211	0.925
ZNF30	0.582	0.596	0.548	1.626	1.054
ARHGEF1	0.329	0.866	0.311	0.234	0.258
ARHGEF15	2.266	0.21	1.432	0.519	0.721
ARHGEF16	0.076	0.593	0	0.013	0.351
ARHGEF2	4.411	2.609	2.837	6.029	1.18
ARHGEF4	0.078	0.278	0.044	3.097	0.022
ZNF300	0.58	0.199	0.318	0.574	0.8
ARHGEF7	3.861	3.116	3.722	6.186	3.346
ARID1A	4.53	7.312	9.468	9.966	8.604
ARID3A	0.693	0.641	0.358	0.324	0.541
ARID4A	4.601	1.806	4.346	6.2	4.164
ARL13A	0.144	0.369	0.049	0.148	0.29
ARL13B	0.539	0.244	0.873	0.893	1.311
ARL15	1.699	0.952	1.77	2.088	2.648
ARL17A	0.703	1.731	1.209	0.661	1.832
ARL17B	0	0	0	0	0
ARL2	5.82	3.392	4.251	8.368	4.531
ARL5A	2.157	1.042	5.936	3.749	3.892
ARL6IP4	21.662	16.978	33.931	29.336	20.86
ARMC1	2.31	1.608	3.546	5.226	3.836
ARMC10	3.616	1.899	5.498	8.877	5.729
ARMC4	0.01	0.014	0.016	0.18	0.047
ARMC5	0.081	0.242	0.083	0.608	0.19
ARMCX2	0.671	0.524	1.488	3.131	1.35
ARMCX5	0.632	0.895	0.802	2.014	1.492
ARNTL	2.208	0.906	2.381	2.979	2.322
ARPC2	27.319	12.62	26.509	26.765	18.344
ARPC4	29.716	24.492	24.281	42.635	26.71
ZNF34	2.087	1.555	2.206	3.094	2.146
ZNF391	2.922	0.789	1.203	4.891	1.975
ZNF397OS	1.255	1.288	2.087	2.099	2.508
ARRDC2	3.286	1.52	1.341	3.103	0.859
ARSA	0.277	0.263	0.11	0.286	0.529
ARSB	1.052	0.538	1.603	1.123	2.825
ARSH	0	0	0	0	0.011
ARSJ	0.165	0.544	0.849	0.332	1.954
ART5	0	0.017	0.447	0.101	0.111
ARTN	0	0.04	0	0.117	0.019
AS3MT	0.491	0.48	3.621	1.291	2.579
ASAH2	0.048	0.211	0.105	0.279	0.241
ZNF416	0.556	0.359	0.49	1.253	0.783
ASAP1	7.7	3.005	11.135	12.555	4.824
ASAP2	3.736	4.288	2.538	3.855	8.319
ASAP3	0.489	0.791	1.291	1.202	1.19
ASB12	0	0.072	0.105	0	0.052
ASB13	0.214	0.888	0.232	0.544	1.497
ASB17	0	0	0	0	0.018
ZNF419	0.923	0.783	0.855	2.156	1.031
ASB4	0.029	0	0.102	0.266	0.058
ASB9	0.151	0.151	0.033	0.022	0.6
ASCC3	2.68	1.338	4.209	3.958	2.879
ASIP	0	0	2.809	0.065	0.063
ASMT	0	0.019	0.042	0.085	0.014
ASNA1	1.434	0.663	1.384	3.108	2.607
ASPH	35.658	3.036	7.67	12.369	6.261
ASPHD2	0.033	0.023	0.039	1.167	0.196
ZNF420	1.704	0.934	1.938	3.581	2.732
ASS1	5.263	2.203	2.505	1.952	32.275
ASXL3	0.149	0.38	0.259	0.982	0.684
ASZ1	0	0	0.006	0	0.006
ATE1	2.693	2.747	6.414	10.48	6.513
ATF3	15.186	1.689	13.405	4.688	4.4
ATF4	8.699	5.189	5.67	4.816	2.742
ATF7IP	9.06	3.934	5.803	6.942	5.275
ATG2A	0.15	0.222	0.167	0.345	0.308
ATG4B	0.33	0.657	0.328	0.798	0.506
ATG4D	0.097	0.393	0.216	0.2	0.46
ATG5	2.388	1.046	3.069	3.037	3.807
ATL1	0.457	0.429	0.49	13.963	0.764
ATL2	1.862	2.793	3.549	4.216	5.509
ATM	4.397	2.647	4.633	4.065	4.329
ATOH7	0	0	0	0.334	0.176
ATOH8	0.1	0.118	0.363	0.103	0.082
ATOX1	12.465	7.415	12.962	25.105	26.731
ATP10A	0.253	0.182	0.182	0.181	0.368
ATP12A	0	0	0	0.043	0.671
ATP13A1	0.352	0.799	0.415	1	0.657
ATP13A2	0.109	0.306	0.222	1.733	0.321
ATP1A2	8.737	7.467	16.058	77.224	0.435
ATP1B4	0.028	0.013	0.637	0.01	0.024
ATP2A1	0.21	0.169	0.005	0.087	0.08
ATP2B2	0.012	0.132	0.006	8.088	0.021
ATP2B3	0.017	0.064	0.006	3.199	0.012
ATP2B4	22.093	18.756	24.767	21.499	4.225
ATP2C1	8.417	3.274	10.763	15.981	11.647
ATP4B	0	0	0	0	0.062
ATP5G1	1.084	1.429	1.521	1.25	1.094
ATP5G3	3.854	2.962	4.274	7.782	5.937
ATP5J	118.592	54.692	418.458	178.173	99.931
ATP5J2	7.121	5.247	13.106	10.487	14.233
ATP5L	54.339	64.613	207.43	73.655	97.61
ATP5O	31.481	25.651	129.892	54.155	47.342
ATP5S	1.369	0.277	3.341	3.124	3.309
ATP5SL	2.058	2.431	3.713	3.479	3.318
ATP6AP1L	0	0.068	0.123	0.55	0.049
ATP6V0A2	1.337	1.404	1.762	1.327	2.098
ATP6V0A4	0	0	0	0.187	15.509
ATP6V0B	0.359	0.78	0.638	2.595	1.506
ATP6V1B1	0	0	0.01	0.02	2.916
ATP6V1C2	0.095	0.108	0.102	0.049	1.895
ATP6V1G3	0	0	0	0.12	7.598
ATP8A2	0.029	0.17	0.048	7.342	0.089
ATP8B2	0.194	0.424	0.823	0.175	0.269
ATPAF1	3.682	2.466	16.226	11.507	6.834
ATPAF2	0.946	1.143	1.285	1.001	2.15
ZNF48	0.4	0.56	0.338	1.256	0.269
ZNF735	0	0	0	0	0
ATRIP	0.408	0.413	0.637	0.749	0.519
ATRNL1	0.034	0.403	0.48	14.862	0.76
ATRX	18.778	4.344	23.967	28.683	18.28
ATXN10	1.814	1.23	4.855	8.334	4.108
ATXN1L	2.695	1.952	2.081	2.093	3.359
ATXN3	0.659	0.364	0.697	0.68	0.797
ATXN8OS	0	0	0	0.438	0
ZNF77	0.504	1.034	0.685	2.359	1.091
ZNF83	9.329	2.075	8.483	5.966	15.425
AURKAIP1	6.648	7.315	8.173	8.026	7.649
AURKB	1.426	3.994	0.392	0.215	0.015
AURKC	1.253	0.415	1.339	1.429	0.649
AVEN	2.231	0.941	3.555	1.386	1.041
AXL	2.527	2.275	2.739	2.584	0.892
AZI2	17.965	5.014	12.225	14.698	12.416
AZIN1	6.161	3.647	9.889	15.004	9.328
AZU1	0	0	0	0	0
B3GALT5	0	0.831	0	0.187	0
B3GALT6	0.263	0.313	0.14	0.57	0.525
B3GAT1	0	0.095	0.032	15.526	0.226
B4GALNT3	0	2.401	1.361	0.198	0.863
B4GALT1	11.132	9.106	16	3.826	16.117
B4GALT6	0.549	0.331	0.484	3.754	0.689
B4GALT7	0.064	0.06	0.162	0.242	0.408
BAAT	0.074	0.237	0.354	0.098	0.293
BACE1	2.757	1.322	2.24	11.69	2.927
BACE2	1.17	1.539	2.119	0.657	3.296
BAD	0.54	0.652	0.122	0.867	0.44
BAG2	2.526	5.155	10.512	2.772	2.288
BAGE3	0	0	0	0	0
BAHCC1	0.18	0.293	0.172	0.272	0.191
BAIAP2	0.138	0.597	0.275	2.472	1.175
BAIAP2L2	0	0.791	0	0.088	1.072
BAMBI	1.022	0.418	6.499	2.571	3.441
BAP1	1.67	2.554	3.345	5.434	3.875
BARX2	0	0.291	0	0.107	0.483
ZNF92	2.102	0.801	3.495	5.632	4.519
ZNF98	0	0	0.049	0.05	0.172
BAX	1.772	1.668	2.446	2	3.719
BAZ2B	8.412	4.231	7.775	11.318	10.134
BBC3	0.545	0.955	0.471	1.547	0.275
BBS2	2.727	2.038	4.492	12.913	7.155
BBS9	1.867	1.268	2.991	2.943	2.719
BCAM	0.876	0.624	1.342	0.343	6.201
BCAN	0	0.111	0.005	9.117	0.011
BCAP31	46.569	12.666	11.847	20.433	27.766
BCAR4	0	0	0	0	0
BCAS1	0.032	12.905	0.225	52.239	0.699
ZSCAN12L1	0.069	0.049	0.176	0.194	0.16
BCAT1	5.326	0.762	3.376	6	0.742
BCHE	0.18	0.305	0.229	0.325	0.053
BCKDHA	0.56	0.552	1.022	1.306	0.869
BCL11B	0.047	0.204	0.067	0.97	0.074
BCL2A1	2.691	0.058	1.765	3.076	0.167
BCL2L1	3.587	4.1	4.138	6.722	8.637
BCL2L14	0.039	2.389	0.03	0.08	0.079
BCL2L15	0.103	2.73	0.011	0.061	0.224
BCL6	14.84	2.185	15.268	10.987	4.12
BCLAF1	14.378	5.385	15.991	24.306	15.74
BCOR	1.089	1.988	2.206	1.584	2.314
BDH1	0.331	1.938	0.834	1.161	1.041
BDKRB1	0.142	0.02	0	0	0.36
BDNF	0.194	0.045	3.989	2.525	0.168
BEGAIN	0.053	0.075	0.034	1.337	0.054
BEND3	0.05	0.178	0.129	0.108	0.189
BEND4	0.004	0.067	0.004	0.548	0.052
BEST4	0	0.699	0.044	0.072	0.018
BET1L	1.239	1.599	1.457	0.956	2.226
SLC35C1	0.453	0.642	0.267	0.261	0.33
BEX2	0.135	2.763	6.282	118.203	11.908
BEX5	0.314	1.006	1.367	46.598	4.035
SLC39A4	0.048	0.643	0.04	0.229	0.896
BFAR	7.11	5.731	5.816	6.539	5.284
BGN	4.057	1.41	17.063	2.325	6.608
BHLHB9	0.317	0.398	0.596	5.042	0.8
BHLHE22	1.448	0.709	0.271	11.211	0.154
BHMT2	13.21	1.393	2.292	1.027	59.67
BICC1	4.109	1.154	5.529	1.774	18.309
BICD1	1.666	1.393	2.281	9.493	3.228
BICD2	1.568	0.713	2.092	1.559	1.318
BIN1	3.47	1.906	0.855	20.445	6.587
BIN2	1.993	1.849	1.594	1.474	0.52
SLC39A5	0.037	3.314	0	0	7.074
BLMH	4.239	2.585	4.188	4.86	6.29
BLNK	1.424	2.844	0.287	1.275	3.435
BLOC1S2	8.646	2.141	8.931	25.911	7.642
BLVRB	3.56	0.781	2.265	1.062	2.166
