GENE	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10
ABCC11	0.0161	0.0440	0.0392	0.0094	0.0143	0.0292	0.0250	0.0329	0.0290	0.0292
ABCC13	0.0512	0.0751	0.0529	0.1390	0.1395	0.0622	0.1173	0.0958	0.0725	0.0379
ABCC2	1.3024	1.2641	0.1007	1.3416	0.1695	1.8690	3.0565	0.1274	1.2931	0.7047
ABCC5	5.1803	5.6796	5.7828	5.7241	6.1030	5.2403	5.2713	5.9986	5.4556	5.3429
ABCF1	14.9331	13.8137	14.2113	12.4731	12.0617	14.1738	13.1533	12.6536	13.3135	13.3555
WDR24	0.1754	0.2201	0.2109	0.1488	0.1527	0.1839	0.1792	0.1778	0.1647	0.1390
ABCG1	2.5405	2.8364	3.2048	2.2746	2.7159	2.3018	1.8470	2.8501	2.2814	2.1722
ABCG2	0.2868	0.5037	0.4705	0.3068	0.3601	0.4007	0.3846	0.4800	0.4375	0.4638
ABCG8	0.0346	0.0174	0.0244	0.0204	0.0186	0.0213	0.0144	0.0138	0.0146	0.0115
ABHD11	0.4938	0.5424	0.4342	0.7259	0.6721	0.5232	0.7311	0.5299	0.5046	0.3496
ABHD12	2.5124	3.6490	3.5778	1.8913	2.1617	2.9301	2.5276	3.0531	2.8232	2.8127
ABHD13	1.2003	1.0268	1.0402	0.7598	0.6387	1.0913	0.9663	0.7469	0.9002	0.8563
ABHD14B	3.8248	3.8567	2.0273	4.6362	2.9439	5.1302	7.0751	2.9026	4.8485	4.6307
ABHD15	1.0793	1.0469	0.9271	1.3241	1.2295	1.3497	1.4596	1.3032	1.5831	1.9478
ABHD2	8.3851	8.6521	9.5621	5.8898	6.5186	7.6155	5.8928	7.5887	6.9265	6.7594
ABHD3	0.7600	0.9694	0.8730	1.1465	1.1901	0.8875	1.0849	1.0935	0.9892	0.9249
ABHD5	1.9464	1.4098	1.6924	1.3015	1.2785	1.6892	1.2371	1.4273	1.6400	1.9706
ABHD8	0.2026	0.4377	0.4289	0.2096	0.2923	0.2831	0.2475	0.4008	0.3027	0.2872
ABI1	3.9996	5.9691	5.8219	3.5251	4.0624	4.8046	4.3278	5.3523	4.8619	4.9241
ABI3	0.3742	0.4907	0.4911	0.3072	0.3421	0.4101	0.3614	0.4322	0.3989	0.3958
ABI3BP	8.6532	5.0407	6.8561	6.2672	6.3261	7.0436	4.8004	6.3532	7.3489	9.5373
ABL1	5.0839	5.0221	5.3129	6.2095	6.6497	4.8212	5.0244	5.9168	5.2099	5.0769
ABL2	1.5644	1.7592	1.7974	1.2789	1.3481	1.6498	1.4421	1.6363	1.6406	1.7558
ABLIM1	29.2048	14.0551	20.9637	16.3394	15.4419	18.5782	10.8902	12.8664	14.3977	14.9853
ABLIM2	0.9618	1.6072	1.7242	0.5144	0.8108	1.0677	0.6716	1.3154	1.0040	0.9789
ABR	8.4606	16.1429	17.0947	7.7727	11.5734	10.0449	7.5030	15.1859	10.5965	9.9272
ABRA	5.6982	1.1906	3.4136	2.3266	2.2972	2.3287	0.1113	1.1612	1.1850	1.1605
ABT1	0.8186	0.7066	0.7158	0.6683	0.6113	0.7841	0.7363	0.6451	0.7384	0.7723
ABTB1	0.1712	0.2152	0.2364	0.1392	0.1724	0.1840	0.1371	0.2198	0.1980	0.2274
ACAA1	13.4465	12.2081	7.4675	12.3409	6.9539	15.4911	20.0170	7.0330	12.7407	10.6614
ACACA	1.9677	2.9638	2.9040	1.6231	1.8934	2.5224	2.1490	2.7570	2.6814	3.0380
ACAD11	2.8720	2.7383	1.4179	2.6440	1.2371	3.5997	4.8038	1.4068	2.9677	2.5526
ACADSB	10.1016	8.7143	5.9081	7.6555	3.9394	10.7513	13.0468	4.2897	8.1623	6.4010
ACADVL	6.7726	4.7832	4.9118	6.1080	5.3692	6.0719	6.0824	4.7846	5.7544	5.9743
ACCN3	0.1409	0.2236	0.2238	0.1272	0.1571	0.1627	0.1431	0.1991	0.1614	0.1491
ACCN4	0.0967	0.3793	0.3793	0.0025	0.0967	0.1934	0.0980	0.2876	0.1959	0.2009
ACCN5	0.0176	0.0176	0.0000	0.0176	0.0000	0.0264	0.0440	0.0000	0.0176	0.0088
ACER1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACER3	2.1707	2.5294	2.3632	1.7660	1.6755	2.5521	2.3997	2.2469	2.5600	2.8563
ACIN1	9.6174	8.9411	8.7431	10.1908	9.8209	9.3695	9.9875	9.0612	9.2561	8.8874
ACO2	10.9151	9.2540	9.5010	7.4687	6.5466	9.6488	8.7115	7.0040	7.9524	7.2054
ACOT11	0.4907	0.4864	0.4062	0.8245	0.7940	0.4716	0.7099	0.5544	0.4760	0.2948
ACOT12	0.1882	0.1946	0.1128	0.1501	0.0649	0.2218	0.2923	0.0791	0.1604	0.1034
ACOT7	0.7901	1.7163	1.5897	0.5780	0.7750	1.1426	1.0074	1.3209	1.0895	0.9797
ACOX3	1.4953	1.3401	1.4519	1.1605	1.1611	1.2817	1.1260	1.1598	1.1127	0.9864
ACOXL	0.0306	0.0607	0.0581	0.0873	0.1050	0.0375	0.0580	0.0847	0.0523	0.0370
ACP2	1.4234	1.4655	1.3169	1.2512	1.0923	1.5570	1.6081	1.2508	1.4793	1.5077
ACP5	1.8161	1.7297	0.7377	1.9528	0.9486	2.7163	3.5621	1.2659	2.6865	3.0482
ACPT	0.0065	0.0103	0.0103	0.0217	0.0255	0.0092	0.0135	0.0206	0.0157	0.0173
ACR	0.0933	0.1399	0.1345	0.0808	0.0914	0.1152	0.1044	0.1245	0.1171	0.1215
ACRV1	0.0133	0.0266	0.0266	0.0665	0.0798	0.0133	0.0333	0.0532	0.0266	0.0133
ACSBG1	0.2319	0.8526	0.8500	0.0861	0.2998	0.4354	0.2570	0.6760	0.4482	0.4328
ACSL4	12.8778	13.0814	12.2970	8.1971	6.7709	13.9219	12.5723	9.9745	12.6944	13.8251
ACSL5	2.4193	3.2144	3.2864	5.2903	6.1098	2.5959	3.4912	4.8988	3.5444	3.2343
ACSL6	1.5583	5.4578	5.3924	0.3317	1.5774	2.8650	1.6717	4.1118	2.8290	2.7390
ACSM2A	4.3001	4.2986	0.0036	4.3019	0.0066	6.4464	10.7428	0.0042	4.2986	2.1496
ACSS2	4.0873	3.3518	2.7908	4.5006	3.7203	4.1723	5.0183	3.1891	3.9932	3.7991
WHSC1L1	8.3443	9.7326	9.6362	6.5564	6.7189	8.8682	7.9857	8.3709	8.4252	8.5048
ACTL6A	14.0587	12.2885	12.7445	13.7522	13.4802	12.9203	12.8697	12.4625	12.5521	12.2084
ACTL6B	0.1138	0.4552	0.4552	0.0000	0.1138	0.2276	0.1138	0.3414	0.2276	0.2276
ACTN2	182.6681	39.3018	112.0358	72.8674	73.5681	74.3340	0.8666	38.6681	38.0336	38.1662
ACTN3	0.0104	0.0133	0.0147	0.0038	0.0053	0.0098	0.0057	0.0094	0.0079	0.0073
ACTR2	25.0738	26.9536	27.9436	17.7106	18.2908	25.5142	21.1522	23.4802	24.2452	25.8760
ACTR3B	0.7372	1.7678	1.6974	0.3330	0.5968	1.1062	0.8146	1.3068	1.0426	0.9926
ACTRT1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACVR1	5.2617	4.5740	4.0488	4.2425	3.2960	5.1839	5.5137	3.3986	4.4260	4.0371
ACVR1C	0.8469	1.1955	1.2093	0.8048	0.9462	1.5486	1.1509	1.7311	2.1707	3.3567
ACYP2	1.4561	0.9831	1.3011	0.7263	0.7501	1.0180	0.5771	0.7912	0.7825	0.7669
ADAL	3.7102	3.0223	3.2453	2.1845	1.9082	3.2189	2.6254	2.2441	2.6399	2.5854
ADAM10	10.7052	9.7387	9.6921	7.4034	6.4771	10.3174	9.3368	7.6952	9.0901	9.1677
ADAM12	0.7849	0.9819	0.9877	0.7201	0.7917	1.3885	1.0469	1.4634	1.9325	3.0170
ADAM15	0.4610	0.4056	0.4946	0.3720	0.4260	0.3793	0.2768	0.4282	0.3720	0.3873
ADAM22	1.4138	3.9579	3.8095	0.5987	1.3034	2.4468	1.7044	3.0925	2.4935	2.6383
ADAM28	1.1191	1.8417	1.6751	2.2233	2.5045	1.3495	1.8395	2.1682	1.5863	1.2120
ADAM33	0.2006	0.1789	0.1991	0.2503	0.2698	0.2215	0.2058	0.2707	0.2829	0.3662
ADAM3A	0.0061	0.0244	0.0244	0.0000	0.0061	0.0122	0.0061	0.0183	0.0122	0.0122
ADAM6	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ADAM9	27.0176	15.7118	18.6672	16.4706	13.4550	21.0885	16.7371	12.9434	17.4786	18.6919
ADAMDEC1	1.8602	3.6281	3.6297	9.0072	10.7883	1.8609	4.5394	7.2134	3.6543	1.8844
ADAMTS1	21.7037	10.8298	14.8722	11.8820	10.2311	15.2236	10.0513	9.3879	12.2732	13.6602
ADAMTS13	0.5272	0.5893	0.5211	0.5507	0.5100	0.5581	0.6346	0.5037	0.5137	0.4284
ADAMTS19	0.1100	0.1632	0.1576	0.0940	0.1064	0.1248	0.1162	0.1352	0.1168	0.1024
ADAMTS2	0.0832	0.0392	0.0524	0.0502	0.0414	0.0740	0.0511	0.0498	0.0780	0.1124
ADAMTSL4	0.3889	0.2234	0.3266	0.3275	0.3576	0.2763	0.1864	0.3042	0.2862	0.3351
ADAR	11.1597	14.1545	13.5777	8.8168	9.0314	12.4873	11.5282	11.7929	11.8261	11.7230
ADARB1	1.8620	2.2075	2.3133	1.3564	1.5173	1.9430	1.5625	1.9766	1.8945	2.0149
ADC	0.1451	0.2935	0.2989	0.1277	0.1875	0.1825	0.1447	0.2598	0.1857	0.1672
ADCK1	0.3214	0.4293	0.3747	0.2746	0.2543	0.4090	0.4113	0.3564	0.4027	0.4249
WNK3	0.7241	1.0877	0.9757	0.3936	0.3706	0.8625	0.7922	0.6869	0.7033	0.5858
ADCY6	1.9486	1.4122	1.5592	1.8856	1.8166	1.7495	1.6617	1.6424	1.8018	2.0003
ADCY7	1.3230	1.2421	1.4019	1.3985	1.5388	1.3147	1.1512	1.5573	1.5081	1.7814
ADCY8	0.2984	1.1798	1.1752	0.0046	0.2938	0.5945	0.3053	0.8814	0.5922	0.5899
ADCYAP1R1	1.2040	3.9191	3.9895	0.3501	1.3334	2.0794	1.1208	3.1215	2.1359	2.1783
ADD3	16.0439	18.8109	17.9801	11.1830	10.6686	17.0053	15.5871	14.2577	15.0017	14.1366
ADH1C	2.0763	3.3316	3.1962	7.7722	8.9959	2.1549	4.4273	6.1329	3.5610	2.2079
ADH5	12.4844	10.5259	9.4971	10.2287	8.0996	12.6056	13.0388	8.6197	11.4559	11.6845
ADH6	0.8775	0.9726	0.2782	1.3099	0.7186	1.2337	2.0863	0.5094	1.0066	0.5783
ADIPOQ	14.6299	14.3207	14.6877	16.2089	16.6999	26.9197	20.9352	28.2754	40.1337	65.3564
ADIPOR1	7.2036	5.9524	6.4680	4.8196	4.4872	6.1874	5.1822	4.8200	5.2420	5.0326
ADK	3.3775	3.4869	3.4283	2.0731	1.8559	3.4993	3.0057	2.6676	3.1359	3.3162
ADM2	0.2127	0.2024	0.0278	0.2287	0.0526	0.2912	0.4768	0.0336	0.2024	0.1034
ADNP	7.0856	8.5893	8.0615	6.0622	5.9553	7.8698	7.6860	7.2580	7.4643	7.2787
ADORA3	0.4283	0.4294	0.5508	0.2819	0.3812	0.3270	0.1695	0.4196	0.3018	0.2918
ADPRH	2.0021	1.5098	1.7022	1.4954	1.4205	1.9292	1.5492	1.6409	2.0064	2.5290
ADPRHL1	13.1045	2.8871	8.0357	5.3927	5.4251	5.4179	0.2524	2.8934	2.8649	2.8814
ADPRHL2	0.5359	0.6526	0.5960	0.4970	0.4793	0.6025	0.6205	0.5565	0.5736	0.5441
ADRA1A	1.8034	1.4475	1.9151	0.9570	1.1575	1.6693	0.8400	1.6582	1.8245	2.5692
ADRB2	0.6807	0.6036	0.6662	0.5673	0.5828	0.9018	0.6724	0.8844	1.1684	1.7666
ADRB3	0.0728	0.0968	0.0926	0.1857	0.2081	0.0736	0.1210	0.1497	0.0994	0.0694
ADRBK1	1.0609	1.4659	1.5251	1.1300	1.3556	1.1193	1.0271	1.4687	1.1647	1.0846
ADSSL1	2.9567	1.0449	1.8753	1.4221	1.2811	1.5628	0.7050	0.8346	0.9683	0.8677
AEBP1	13.7640	8.2542	10.7834	10.4032	10.2962	10.3040	7.7918	9.0628	9.6106	10.5574
AEBP2	2.4676	2.7941	2.6781	2.1486	2.1091	2.5737	2.5304	2.3792	2.3903	2.2270
AFAP1	0.8646	1.0575	1.0711	1.0603	1.1782	0.9350	0.9506	1.1797	1.0347	1.0473
AFAP1L2	0.9530	1.3402	1.0516	1.0809	0.9609	1.2184	1.4808	1.0727	1.1452	0.9652
AFF1	10.2423	8.1240	6.5910	9.6978	7.2663	10.3487	12.0838	6.5735	9.2434	8.6651
AFF2	0.4821	1.0959	1.1223	0.1865	0.4035	0.6814	0.4114	0.8696	0.6745	0.7105
AFF3	1.4120	2.6956	2.7536	1.1228	1.6300	1.9500	1.4479	2.5502	2.1608	2.4574
AFG3L2	13.4739	11.8117	11.9987	11.2516	10.4574	12.1800	11.8024	10.1979	10.7729	9.7873
AFM	2.3718	2.3658	0.0262	2.3842	0.0442	3.5434	5.8871	0.0384	2.3806	1.2176
ADCY2	0.6322	2.3932	2.3914	0.1128	0.7084	1.2199	0.6608	1.8458	1.2396	1.2331
AFMID	0.7639	0.7334	0.1622	0.7550	0.1707	1.0376	1.6125	0.1589	0.7444	0.4568
AFTPH	4.4418	5.1182	3.8990	4.2042	3.2086	5.3058	6.2804	3.6950	4.7214	4.1706
AGAP11	0.3456	0.3359	0.3057	0.3341	0.2984	0.4665	0.4397	0.4089	0.5559	0.7600
AGAP4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
AGAP5	0.0871	0.1061	0.1031	0.1722	0.1896	0.0976	0.1281	0.1557	0.1269	0.1237
AGAP6	0.0504	0.0479	0.0465	0.0833	0.0860	0.0457	0.0625	0.0625	0.0503	0.0380
AGAP7	0.0092	0.0140	0.0064	0.0076	0.0016	0.0146	0.0206	0.0048	0.0108	0.0070
AGBL3	0.0887	0.1190	0.1044	0.0968	0.0951	0.1129	0.1210	0.1123	0.1180	0.1229
AGBL5	0.9439	1.1460	0.8758	1.0438	0.8667	1.1711	1.4259	0.9361	1.1122	1.0137
AGL	4.2930	3.2888	3.6268	2.9178	2.6580	3.6586	3.0630	2.7786	3.1708	3.2100
AGPAT1	0.8002	0.8013	0.7743	0.5888	0.5297	0.7736	0.7393	0.6036	0.6547	0.5765
AGPAT3	6.6898	7.3899	6.0355	5.5408	4.2789	7.7197	8.4289	5.3580	6.8801	6.5120
XAGE1C	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
AGPHD1	3.2348	3.8964	2.8928	3.0550	2.2782	4.1114	4.8330	2.8516	3.7764	3.5800
AGR2	2.9012	5.7269	5.6589	14.2040	16.9617	2.9427	7.2455	11.3178	5.7419	2.8972
AGR3	0.4602	0.8956	0.8708	2.2018	2.6124	0.4726	1.1505	1.7416	0.8956	0.4478
AGTPBP1	5.1800	6.3346	7.0968	2.4027	3.1817	4.9522	3.0008	5.0081	4.3656	4.4676
AGTR1	0.6449	0.4102	0.3818	0.4796	0.3355	0.7058	0.6563	0.4351	0.7416	0.9960
AGTRAP	0.5278	0.4559	0.4829	0.3585	0.3318	0.4847	0.4102	0.3823	0.4331	0.4502
AGXT2L1	9.3023	19.1196	20.8654	2.2252	6.6581	11.0655	4.9021	14.6153	10.1314	10.0243
AHCTF1	7.7665	6.5369	6.9349	5.1894	4.7180	7.1383	6.0110	5.4873	6.3989	6.7890
AHCYL2	3.5299	7.6100	6.7030	5.9078	6.9359	5.1307	6.2217	7.4305	5.6146	4.4481
AHSA2	3.7686	4.0394	3.2994	4.6672	4.1696	4.3670	5.3280	3.9558	4.4394	4.2696
AICDA	0.0031	0.0049	0.0049	0.0103	0.0121	0.0044	0.0064	0.0098	0.0075	0.0083
AIF1	8.7625	9.7222	10.9584	4.9430	5.9607	8.7847	5.7224	8.8053	8.6464	10.1745
AIFM1	17.9711	11.9000	8.2562	13.5468	6.8873	16.7183	20.4313	5.2609	11.8614	8.4335
AIFM3	0.3987	1.1141	1.1171	0.8449	1.1917	0.5799	0.6297	1.2442	0.7363	0.5736
AIM2	0.0458	0.0644	0.0644	0.1189	0.1373	0.0483	0.0745	0.1033	0.0690	0.0555
AIPL1	0.0140	0.0309	0.0295	0.0283	0.0356	0.0227	0.0249	0.0385	0.0305	0.0330
AJAP1	1.2409	3.9896	3.7472	0.3953	1.0800	2.2873	1.6361	2.8834	2.1968	2.0881
AK1	5.9089	3.1958	4.8986	3.1399	3.3732	3.5869	1.6587	2.9762	2.7418	2.7433
AK2	5.6496	5.3070	3.6464	6.0108	4.2740	6.4109	8.2581	3.9578	5.7018	4.9429
AK5	12.3165	48.1745	48.1721	0.8080	12.8266	24.2213	12.4664	36.4437	24.3077	24.1742
AKAP1	8.4540	7.3800	8.0604	10.0483	10.5609	7.2759	7.6689	8.6993	7.5166	6.8019
AKAP12	22.2202	28.6363	28.5881	17.1513	18.7910	26.7545	22.3513	27.0177	28.2003	33.1446
AKAP14	0.0660	0.1162	0.1162	0.0419	0.0575	0.0777	0.0607	0.0899	0.0704	0.0609
AKAP3	0.3926	0.3576	0.3174	0.3254	0.2614	0.3883	0.4162	0.2678	0.3312	0.2917
AKAP4	0.0012	0.0012	0.0000	0.0012	0.0000	0.0018	0.0030	0.0000	0.0012	0.0006
AKAP7	0.7641	1.0807	1.1293	0.7760	0.9482	0.8124	0.7199	1.0631	0.8399	0.7893
AKAP9	14.8849	13.6441	12.9397	10.7979	8.9875	14.5872	14.0923	10.3474	12.6139	12.1353
AKIRIN1	7.5537	7.8618	7.8764	5.5231	5.3438	7.4156	6.6735	6.3538	6.5962	6.2848
AKIRIN2	12.3656	11.7440	13.4130	8.0228	8.7846	11.1997	8.0500	10.6960	10.5100	11.4461
AKR1A1	7.4298	6.9227	3.5617	7.2708	3.6903	8.9888	12.3689	3.5764	7.2549	5.6947
AKR7L	0.5721	0.7238	0.3012	0.8396	0.5165	0.8155	1.3191	0.4279	0.6836	0.4109
AKT1	1.7376	1.6423	1.7833	2.0597	2.2136	1.6447	1.6424	2.0031	1.8139	1.8808
ALAS1	5.1207	4.2170	4.5642	3.7679	3.5594	4.5547	3.9181	3.7564	4.1282	4.2467
ALB	25.0122	11.6708	14.2400	19.7999	16.4359	16.3451	15.9756	9.8075	11.7222	7.8791
ALDH16A1	0.1090	0.1050	0.1004	0.1788	0.1834	0.1099	0.1422	0.1438	0.1286	0.1209
ALDH18A1	3.6136	4.4700	4.0512	5.6547	5.8793	3.9729	5.0688	5.0619	4.3438	3.6843
ALDH1A2	1.4278	1.0730	0.9278	0.9082	0.5466	1.4202	1.4193	0.6916	1.1894	1.2420
ALDH1L1	4.2359	4.5016	2.1408	3.7738	1.4441	5.7256	7.7438	2.0431	4.6510	3.9408
ALDH3A1	0.1227	0.2259	0.2113	0.3262	0.3826	0.1512	0.2295	0.3101	0.2039	0.1519
RICS	1.6693	4.1704	3.8896	1.7144	2.4025	2.6104	2.4120	3.5637	2.7074	2.4334
ALDH3A2	4.2018	4.4626	3.7444	4.0269	3.3821	5.1948	5.5187	4.1503	5.3556	6.0972
ALDH3B1	0.6564	0.5309	0.3979	0.5912	0.3999	0.7090	0.8287	0.4018	0.6375	0.6351
ALDH3B2	0.0099	0.0199	0.0155	0.0109	0.0105	0.0166	0.0187	0.0160	0.0169	0.0167
ALDH8A1	2.2108	2.2414	0.0840	2.2461	0.1059	3.2954	5.4623	0.0975	2.2264	1.1356
ALDOB	159.3676	159.6532	2.1616	162.2351	5.2945	237.8537	396.5670	3.5347	159.6646	79.9811
ALDOC	19.7510	38.8145	42.0693	7.0278	15.6573	25.8311	13.0958	33.1486	26.8519	31.6752
ALG10	0.1533	0.2416	0.2134	0.1828	0.1931	0.2009	0.2203	0.2243	0.2090	0.1985
XAGE1D	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
XPO5	1.4116	1.5891	1.5261	1.3260	1.3181	1.4808	1.4852	1.4292	1.4197	1.3473
ZBTB42	0.3806	0.2823	0.2725	0.3709	0.3218	0.3351	0.3701	0.2615	0.2995	0.2626
ZBTB7C	0.6955	1.1048	1.1378	2.0246	2.4195	0.6923	1.1481	1.7801	1.0366	0.6941
ZDHHC21	4.4436	5.9341	5.9445	2.6992	3.0145	4.8293	3.8952	4.5740	4.3447	4.2340
ALG5	6.9874	7.8611	6.8811	7.1932	6.5809	7.8281	8.6783	6.9552	7.5505	7.1412
ALG9	3.0551	2.9252	3.0640	2.2846	2.2549	3.1904	2.6579	2.8545	3.2574	3.8854
ALKBH2	0.9613	1.1927	1.1627	0.7988	0.8328	1.0863	0.9899	1.0659	1.0779	1.1352
ALKBH5	16.9367	9.8958	12.6714	10.4142	9.4783	11.7320	8.6270	8.0903	8.9208	8.0510
ALOX12P2	0.1123	0.1925	0.1227	0.1120	0.0730	0.1706	0.2255	0.1089	0.1405	0.0969
ALOX15	0.0374	0.0496	0.0538	0.1044	0.1236	0.0325	0.0550	0.0866	0.0496	0.0325
ALOX15B	0.3430	0.1743	0.2537	0.2987	0.3064	0.2179	0.1706	0.2189	0.1975	0.1866
ALPL	3.4443	2.9139	2.3365	2.1729	1.1959	3.4211	3.6859	1.4870	2.5517	2.1042
ZFATAS	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ZFP57	0.2238	0.2057	0.2417	0.0916	0.1003	0.1785	0.1060	0.1414	0.1327	0.1188
AMDHD2	0.0736	0.0792	0.0652	0.1571	0.1581	0.0735	0.1230	0.1069	0.0838	0.0523
AMHR2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
AMMECR1	0.8998	0.7965	0.6339	0.8194	0.6047	0.9288	1.0906	0.5798	0.7943	0.6861
AMMECR1L	1.7608	1.4392	1.4892	1.3844	1.2528	1.6122	1.4916	1.2824	1.4720	1.5014
AMN	0.0632	0.0979	0.0741	0.2020	0.2129	0.0798	0.1533	0.1482	0.1073	0.0701
AMN1	1.6812	2.3028	2.3944	0.8396	1.0408	1.8226	1.2898	1.7768	1.6532	1.7078
